strike_price,premium,current_date,expiry_date,moneyness
8500,1093,01-05-2020,07-05-2020,OTM
8600,1101,01-05-2020,07-05-2020,OTM
8700,1108,01-05-2020,07-05-2020,OTM
8800,1117,01-05-2020,07-05-2020,OTM
8900,1126,01-05-2020,07-05-2020,OTM
9000,1131,01-05-2020,07-05-2020,OTM
9100,1139,01-05-2020,07-05-2020,OTM
9200,1145,01-05-2020,07-05-2020,OTM
9300,1152,01-05-2020,07-05-2020,OTM
9400,1168,01-05-2020,07-05-2020,OTM
9500,1177,01-05-2020,07-05-2020,OTM
9600,1182,01-05-2020,07-05-2020,OTM
9700,1194,01-05-2020,07-05-2020,OTM
9800,1204,01-05-2020,07-05-2020,ATM
9900,1214,01-05-2020,07-05-2020,ITM
10000,1225,01-05-2020,07-05-2020,ITM
10100,1233,01-05-2020,07-05-2020,ITM
10200,1240,01-05-2020,07-05-2020,ITM
10300,1251,01-05-2020,07-05-2020,ITM
10400,1260,01-05-2020,07-05-2020,ITM
10500,1268,01-05-2020,07-05-2020,ITM
10600,1273,01-05-2020,07-05-2020,ITM
10700,1281,01-05-2020,07-05-2020,ITM
10800,1287,01-05-2020,07-05-2020,ITM
10900,1290,01-05-2020,07-05-2020,ITM
11000,1300,01-05-2020,07-05-2020,ITM
