strike_price,premium,current_date,expiry_date,moneyness
8000,18,15-05-2020,28-05-2020,OTM
8100,22,15-05-2020,28-05-2020,OTM
8200,30,15-05-2020,28-05-2020,OTM
8300,36,15-05-2020,28-05-2020,OTM
8400,47,15-05-2020,28-05-2020,OTM
8500,60,15-05-2020,28-05-2020,OTM
8600,76,15-05-2020,28-05-2020,OTM
8700,98,15-05-2020,28-05-2020,OTM
8800,125,15-05-2020,28-05-2020,OTM
8900,158,15-05-2020,28-05-2020,OTM
9000,195,15-05-2020,28-05-2020,OTM
9100,241,15-05-2020,28-05-2020,ATM
9200,292,15-05-2020,28-05-2020,ITM
9300,351,15-05-2020,28-05-2020,ITM
9400,416,15-05-2020,28-05-2020,ITM
9500,488,15-05-2020,28-05-2020,ITM
9600,562,15-05-2020,28-05-2020,ITM
9700,645,15-05-2020,28-05-2020,ITM
9800,730,15-05-2020,28-05-2020,ITM
9900,820,15-05-2020,28-05-2020,ITM
10000,914,15-05-2020,28-05-2020,ITM
10100,1002,15-05-2020,28-05-2020,ITM
10200,1105,15-05-2020,28-05-2020,ITM
10300,1200,15-05-2020,28-05-2020,ITM
10400,1295,15-05-2020,28-05-2020,ITM
10500,1391,15-05-2020,28-05-2020,ITM
10600,1492,15-05-2020,28-05-2020,ITM
10700,1590,15-05-2020,28-05-2020,ITM
10800,1688,15-05-2020,28-05-2020,ITM
10900,1787,15-05-2020,28-05-2020,ITM
11000,1890,15-05-2020,28-05-2020,ITM
