strike_price,premium,current_date,expiry_date,moneyness
8500,1400,01-05-2020,14-05-2020,ITM
8600,1390,01-05-2020,14-05-2020,ITM
8700,1387,01-05-2020,14-05-2020,ITM
8800,1381,01-05-2020,14-05-2020,ITM
8900,1373,01-05-2020,14-05-2020,ITM
9000,1368,01-05-2020,14-05-2020,ITM
9100,1360,01-05-2020,14-05-2020,ITM
9200,1351,01-05-2020,14-05-2020,ITM
9300,1340,01-05-2020,14-05-2020,ITM
9400,1333,01-05-2020,14-05-2020,ITM
9500,1325,01-05-2020,14-05-2020,ITM
9600,1314,01-05-2020,14-05-2020,ITM
9700,1304,01-05-2020,14-05-2020,ATM
9800,1294,01-05-2020,14-05-2020,OTM
9900,1282,01-05-2020,14-05-2020,OTM
10000,1277,01-05-2020,14-05-2020,OTM
10100,1268,01-05-2020,14-05-2020,OTM
10200,1252,01-05-2020,14-05-2020,OTM
10300,1245,01-05-2020,14-05-2020,OTM
10400,1239,01-05-2020,14-05-2020,OTM
10500,1231,01-05-2020,14-05-2020,OTM
10600,1226,01-05-2020,14-05-2020,OTM
10700,1217,01-05-2020,14-05-2020,OTM
10800,1208,01-05-2020,14-05-2020,OTM
10900,1201,01-05-2020,14-05-2020,OTM
11000,1193,01-05-2020,14-05-2020,OTM
